B Channel,G Channel,R Channel,H Channel,S Channel,V Channel,L Channel,a Channel,b Channel,Label
118.06359387886008,157.13241088609914,166.62558416567396,26.330798130669844,73.41583432603318,166.65692293594796,164.83405113167782,125.37533217263814,149.63355630898928,1.0
111.98792815781727,150.5664932770635,160.1488860535872,25.592403572480126,75.36107566984003,160.17195014231035,158.66601236627736,125.50387672980666,149.5559917558151,1.0
121.87070190394998,139.15184237946386,142.7507814720091,32.250449938429476,38.61466325660699,143.57648953301128,147.3690442360519,126.30842095292223,137.70105143506677,1.0
106.76364498038492,132.5446144124694,137.7026671230352,27.080856217582475,57.051999684052554,137.87701745609647,140.5765251046576,125.52194518311788,142.60369658513468,1.0
120.45381388579746,136.32009245783752,140.14339525725538,33.768512969779984,38.82749764574951,141.48925605684445,144.67725365978941,126.65456724595498,137.02302885026967,1.0
99.99198058457318,141.39421757940278,159.98047905455314,23.843621399176957,94.61063627730294,159.99081987970877,151.7710245858394,129.08726390207872,152.5931201857128,1.0
86.53411764705882,132.5683257918552,161.1187330316742,18.10497737556561,119.34208144796379,161.1187330316742,145.20778280542987,132.8772850678733,156.85882352941175,1.0
150.00323878692708,174.29453332024733,173.37844734517617,36.650407301992345,36.17940916674846,175.22249484738444,179.819707527726,123.47904603003239,140.31023652959075,1.0
130.83717734812052,163.9817450191383,169.26538423790362,31.451565413681422,56.74963195603102,169.46932966925115,170.9042104230052,124.5161448621062,145.83177936990873,1.0
109.33153357961542,154.72984749455338,168.9021502320735,23.262858766695082,88.56322818982666,168.9119067917022,163.3778535568817,126.4793975561239,153.6222411669982,1.0
88.82859728506787,137.86045248868777,167.93737556561086,18.445972850678732,121.1310407239819,167.93737556561086,150.67493212669683,133.10190045248868,158.4481447963801,1.0
90.16749619095988,137.17023869984766,154.65170137125446,21.667140680548503,104.6513966480447,154.65454545454546,146.9703402742509,127.85942102590148,155.4360589131539,1.0
104.48189223672588,147.26744528412996,161.58975365590342,24.000392580233587,88.84532338796743,161.60535872018843,156.34694278143095,126.93414466581608,152.5108450289528,1.0
45.55375184470428,64.42887955500058,81.05142467930526,27.08548075831536,114.96310591440573,81.24577137018959,72.79316608014531,132.38948802361222,142.29072539448293,1.0
131.36961257933126,163.7382779198636,170.55091408544095,28.88150042625746,57.8811215307379,170.7920810836412,171.00426257459506,125.23538884152696,145.6548261816804,1.0
83.17158620689655,121.78979310344828,144.23420689655174,25.220137931034483,108.7431724137931,144.28855172413793,133.44055172413795,131.28220689655174,152.32027586206897,1.0
